# Creation date: Tue May 20 10:36:29 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/simulation_catalogs/DES/DES/DES_STARCAT/Y6A1_FGCM_V3_3_1_PSF_ALL_STARS.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/DES_100.out
# CAT_LINES              : 0 100
# PARA_OUT               : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/output_data/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : DES_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.000000 
# GLB_CONTEXT            : -1
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 3
# NZ_PRIOR               : -1 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 11 
# AUTO_ADAPT             : NO
# ADAPT_BAND             : 5
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : /home/hallouin/Documents/thall_2025/photoz/lephare/training_stats/simulation_catalogs/DES/DES/DES_STARCAT/WORK_COMPLETE2/zphota/spec_out
# CHI_OUT                : NO
# PDZ_OUT                : NONE
####################################### 
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 NBAND_USED 15 MAG_OBS()16-20 ERR_MAG_OBS()21-25 MAG_ABS()26-30 EMAG_ABS()31-35 ZSPEC 36
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  NBAND_USED  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  ZSPEC 
           9553                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     15.495     14.986     14.819     14.744     14.738      0.007      0.003      0.003      0.002      0.002   1013.98637   1013.98637   1013.98637   1013.98637   1013.98637   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9554                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     4     14.669     13.565     13.174     12.977     12.930      0.004      0.001      0.001      0.001      0.001   1012.56451   1012.56451   1012.56451   1012.56451   1012.56451   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9557                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.472     17.103     16.601     16.354     16.272      0.142      0.016      0.016      0.009      0.005   1016.10328   1016.10328   1016.10328   1016.10328   1016.10328   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9560                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.336     16.701     16.470     16.338     16.330      0.035      0.011      0.011      0.009      0.005   1015.70118   1015.70118   1015.70118   1015.70118   1015.70118   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9561                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.339     17.774     17.532     17.406     17.407      0.127      0.030      0.030      0.023      0.012   1016.77362   1016.77362   1016.77362   1016.77362   1016.77362   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9562                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     14.564     13.986     13.785     13.684     13.671      0.003      0.001      0.001      0.001      0.002   1012.98630   1012.98630   1012.98630   1012.98630   1012.98630   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9566                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.729     18.049     17.793     17.633     17.583      0.185      0.038      0.038      0.029      0.014   1017.04937   1017.04937   1017.04937   1017.04937   1017.04937   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9567                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.834     16.980     16.689     16.521     16.466      0.057      0.014      0.014      0.010      0.006   1015.97967   1015.97967   1015.97967   1015.97967   1015.97967   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9568                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.284     16.570     16.303     16.164     16.137      0.033      0.010      0.010      0.007      0.004   1015.57002   1015.57002   1015.57002   1015.57002   1015.57002   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9571                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.403     17.640     17.345     17.146     17.110      0.181      0.026      0.026      0.018      0.009   1016.63992   1016.63992   1016.63992   1016.63992   1016.63992   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9572                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     17.591     16.900     16.632     16.487     16.460      0.045      0.014      0.014      0.010      0.006   1015.89976   1015.89976   1015.89976   1015.89976   1015.89976   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
           9574                0       0.0000       0.0000       0.0000       0.0000     -99.9000       0.0000    1.00000e+09    -99   -999     -999.000    9.90000e+01   -2.02610e+01     5     18.748     18.062     17.752     17.580     17.522      0.284      0.042      0.042      0.027      0.015   1017.06156   1017.06156   1017.06156   1017.06156   1017.06156   20000.00000   20000.00000   20000.00000   20000.00000   20000.00000      -99.90000 
