# Creation date: Thu Apr 17 14:27:14 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/lephare/simulation_catalogs/buzzard_base/Shuffle_Buzzard_training_file.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_CAT_100.out
# CAT_LINES              : 1 100
# PARA_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : buzzard_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.500000 
# GLB_CONTEXT            : 0
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 2
# NZ_PRIOR               : -2 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 10 
# AUTO_ADAPT             : YES
# ADAPT_BAND             : 4
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/spec_100/
# CHI_OUT                : NO
# PDZ_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_PDZ_100
####################################### 
# Offsets from auto-adapt: 0.042989585745065284,-0.0006165267043378719,-0.0021406715295242407,0.0035866669364388315,0.006062724835594224,-0.026013763042950444
# Offsets from auto-adapt: 0.042990,-0.000617,-0.002141,0.003587,0.006063,-0.026014,
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 MAG_OBS()15-20 ERR_MAG_OBS()21-26 MAG_ABS()27-32 EMAG_ABS()33-38 ZSPEC 39
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  MAG_OBS5  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  ERR_MAG_OBS5  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  MAG_ABS5  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  EMAG_ABS5  ZSPEC  PDZ_FLAG
266975          0.7505          0.0495          2.0000          0.0100          2.0000          0.9738          0.0741          3.99709e-01          90          0          0.000          9.90000e+01          4.76403e-03          26.976          27.658          27.373          26.924          26.515          26.936          1.027          0.356          0.216          0.333          0.594          1.209          -15.47722          -15.87806          -16.10841          -16.07767          -16.17540          -16.32323          0.27070          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          0.46064          15
253089          0.2901          0.2692          0.3043          0.1797          0.3483          0.2686          0.2154          1.65509e+00          17          0          0.000          9.90000e+01          2.27391e-02          26.399          25.014          23.807          23.326          23.059          22.943          0.452          0.038          0.013          0.015          0.022          0.052          -15.53147          -16.73969          -17.38518          -17.64342          -17.84701          -18.05039          0.05503          0.01420          0.10873          0.01376          0.37018          0.62481          0.25840          12
390634          0.7443          0.0591          0.9606          0.0100          2.0000          0.7094          0.0795          7.87217e-01          87          0          0.000          9.90000e+01          6.98036e-03          27.947          27.475          27.195          26.407          26.603          26.441          1.178          0.382          0.239          0.258          0.347          0.797          -15.64794          -16.18819          -16.42679          -16.49541          -16.55732          -16.62474          0.24415          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          0.95584          15
328803          1.008          0.6818          1.8735          0.0100          2.0000          1.2575          1.7558          3.74147e-01          84          0          0.000          9.90000e+01          2.36602e-02          26.702          26.970          26.818          26.423          25.875          26.046          0.685          0.220          0.166          0.243          0.372          0.722          -16.92570          -17.46423          -17.76474          -17.80492          -17.91209          -18.04991          0.05271          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          1.65554          15
213798          0.8064          0.6649          0.8340          0.5757          0.8829          0.7365          0.6685          2.57204e+00          41          0          0.000          9.90000e+01          1.19948e-01          27.150          26.208          25.131          24.140          23.751          23.643          0.501          0.098          0.037          0.028          0.039          0.099          -18.19363          -19.06386          -19.49362          -19.57614          -19.69306          -19.82166          0.38839          0.06351          0.35946          0.97839          1.32951          1.58316          0.82920          12
210664          0.5492          0.0100          0.9832          0.0100          2.0000          0.6728          0.0149          2.24500e-01          90          0          0.000          9.90000e+01          2.44628e-03          27.302          27.624          27.100          26.805          26.877          26.278          0.832          0.301          0.237          0.304          0.505          1.286          -14.76075          -15.15438          -15.38474          -15.35400          -15.45172          -15.59955          0.52202          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          0.80640          15
111661          0.2114          0.0673          0.3077          0.0100          0.8465          0.3263          0.2163          8.07249e-01          18          0          0.000          9.90000e+01          8.65764e-04          28.935          27.398          26.399          25.881          25.870          25.890          1.316          0.280          0.117          0.135          0.226          0.540          -12.09132          -13.28224          -13.98478          -14.16018          -14.34604          -14.53457          0.43620          0.28237          0.02115          -1.00000          -1.00000          -1.00000          0.59040          9
64341          1.205          1.1829          1.2251          1.1458          1.2907          1.2069          1.2028          2.10614e+00          26          0          0.000          9.90000e+01          1.62943e+00          25.739          25.418          24.672          23.945          23.165          22.593          0.237          0.054          0.024          0.024          0.024          0.040          -20.23193          -21.35349          -22.00042          -22.32503          -22.55740          -22.78841          0.31829          0.31011          1.18777          1.81472          2.14727          2.37900          1.15466          4
227394          1.62          0.7351          1.8272          0.0100          2.0000          1.1481          0.9894          1.55392e-01          11          0          0.000          9.90000e+01          7.76142e-01          28.261          27.896          27.626          26.649          25.877          25.509          2.104          0.663          0.293          0.286          0.293          0.581          -19.04041          -20.38863          -21.13047          -21.51031          -21.76161          -22.00718          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          1.03506          15
40132          0.7972          0.5143          0.9571          0.0587          1.2785          0.7445          0.7980          1.25322e+00          46          0          0.000          9.90000e+01          2.17788e-02          27.935          27.909          26.860          25.975          25.452          25.832          2.134          0.494          0.168          0.140          0.217          0.494          -16.39457          -17.33416          -17.60924          -17.70113          -17.82518          -17.96159          0.36386          0.07350          -1.00000          -1.00000          -1.00000          -1.00000          0.68697          15
283672          0.6483          0.6263          0.6678          0.5601          0.7345          0.6505          0.6434          9.90629e-02          42          0          0.000          9.90000e+01          1.06560e-01          26.102          25.459          24.529          23.772          23.538          23.343          0.383          0.057          0.022          0.021          0.032          0.077          -17.80052          -18.68072          -19.16428          -19.38131          -19.56192          -19.74868          0.13172          0.13990          0.08023          0.65117          1.00729          1.26191          0.65847          0
168246          0.01648          0.0100          0.1845          0.0100          0.6006          0.1501          0.1593          2.24153e-01          42          0          0.000          9.90000e+01          6.69488e-06          27.195          26.092          25.608          25.394          25.161          25.073          0.619          0.103          0.055          0.079          0.149          0.389          -7.31715          -8.19518          -8.66838          -8.87813          -9.11270          -9.25737          1.35587          0.09392          0.04754          0.07338          0.03012          -1.00000          0.21125          9
337329          0.4662          0.3971          0.5170          0.0146          0.5825          0.4244          0.4421          1.20324e+00          69          0          0.000          9.90000e+01          1.16401e-02          26.937          26.096          25.216          24.925          24.879          24.571          0.691          0.094          0.039          0.057          0.090          0.258          -15.98186          -16.65293          -17.00973          -16.96552          -17.19671          -17.25831          0.70849          0.28835          0.09714          0.62975          0.92781          1.15291          0.28828          12
