# Creation date: Thu Apr 17 19:05:09 2025
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/config_file.para
# CAT_IN                 : /home/hallouin/Documents/thall_2025/lephare/simulation_catalogs/buzzard_base/Shuffle_Buzzard_training_file.dat
# CAT_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_CAT_5000.out
# CAT_LINES              : 1 5000
# PARA_OUT               : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/output.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 1
# CAT_MAG                : AB
# ZPHOTLIB               : buzzard_mags 
# FIR_LIB                : 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1.000000
# FIR_SCALE              : -1.000000
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.000000 
# ERR_FACTOR             : 1.500000 
# GLB_CONTEXT            : 0
# FORB_CONTEXT           : -1
# DZ_WIN                 : 1.000000
# MIN_THRES              : 0.020000
# MAG_ABS                : -24.000000 -5.000000
# MAG_ABS_AGN            : -30.000000 -10.000000
# MAG_REF                : 3
# NZ_PRIOR               : -1 -2
# Z_INTERP               : YES
# Z_METHOD               : BEST
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 33556478 
# MABS_REF               : 11 
# AUTO_ADAPT             : YES
# ADAPT_BAND             : 5
# ADAPT_LIM              : 1.500000 23.000000
# ADAPT_ZBIN             : 0.010000 6.000000
# ZFIX                   : NO
# SPEC_OUT               : save_spec
# CHI_OUT                : NO
# PDZ_OUT                : /home/hallouin/Documents/thall_2025/lephare/docs/zphota_training/TRAINING_PDZ_5000
####################################### 
# Offsets from auto-adapt: 0.046692,-0.000184,-0.002211,0.003683,0.006042,-0.026768,
# Format: 
# IDENT 1 Z_BEST 2 Z_BEST68_LOW 3 Z_BEST68_HIGH 4 Z_BEST99_LOW 5 Z_BEST99_HIGH 6 Z_MED 7 Z_MODE 8 CHI_BEST 9 MOD_BEST 10 EXTLAW_BEST 11 EBV_BEST 12 PDZ_BEST 13 SCALE_BEST 14 MAG_OBS()15-20 ERR_MAG_OBS()21-26 MAG_ABS()27-32 EMAG_ABS()33-38 ZSPEC 39
# Format topcat: 
# IDENT  Z_BEST  Z_BEST68_LOW  Z_BEST68_HIGH  Z_BEST99_LOW  Z_BEST99_HIGH  Z_MED  Z_MODE  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  PDZ_BEST  SCALE_BEST  MAG_OBS0  MAG_OBS1  MAG_OBS2  MAG_OBS3  MAG_OBS4  MAG_OBS5  ERR_MAG_OBS0  ERR_MAG_OBS1  ERR_MAG_OBS2  ERR_MAG_OBS3  ERR_MAG_OBS4  ERR_MAG_OBS5  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  MAG_ABS5  EMAG_ABS0  EMAG_ABS1  EMAG_ABS2  EMAG_ABS3  EMAG_ABS4  EMAG_ABS5  ZSPEC  PDZ_FLAG
253089          0.29          0.2692          0.3040          0.1796          0.3480          0.2686          0.2152          1.68001e+00          17          1          0.000          9.90000e+01          2.27360e-02          26.395          25.013          23.808          23.326          23.059          22.944          0.452          0.038          0.013          0.015          0.022          0.052          -15.53170          -16.73945          -17.38501          -17.64251          -17.84610          -18.04948          0.05503          0.01420          0.10873          0.01376          0.37018          0.62481          0.25840          0
390634          0.7444          0.0594          0.9606          0.0100          2.0000          0.7098          0.0794          7.87280e-01          87          1          0.000          9.90000e+01          6.98358e-03          27.943          27.475          27.195          26.406          26.603          26.442          1.178          0.382          0.239          0.258          0.347          0.797          -15.64838          -16.18870          -16.42729          -16.49591          -16.55782          -16.62525          0.24415          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          0.95584          11
328803          1.008          0.6818          1.8711          0.0100          2.0000          1.2576          1.7556          3.78977e-01          84          1          0.000          9.90000e+01          2.36721e-02          26.698          26.970          26.819          26.423          25.875          26.047          0.685          0.220          0.166          0.243          0.372          0.722          -16.92640          -17.46478          -17.76529          -17.80547          -17.91264          -18.05046          0.05271          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          1.65554          11
213798          0.8063          0.6659          0.8340          0.5761          0.8828          0.7389          0.6685          2.54178e+00          41          1          0.000          9.90000e+01          1.19926e-01          27.146          26.208          25.131          24.140          23.751          23.644          0.501          0.098          0.037          0.028          0.039          0.099          -18.19321          -19.06362          -19.49264          -19.57516          -19.69209          -19.82069          0.38839          0.06351          0.35946          0.97839          1.32951          1.58316          0.82920          12
210664          0.5495          0.0100          0.9837          0.0100          2.0000          0.6740          0.0149          2.26876e-01          90          1          0.000          9.90000e+01          2.44955e-03          27.298          27.624          27.100          26.805          26.877          26.278          0.832          0.301          0.237          0.304          0.505          1.286          -14.76214          -15.15584          -15.38619          -15.35545          -15.45318          -15.60101          0.52202          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          0.80640          11
111661          0.2113          0.0672          0.3085          0.0100          0.8478          0.3265          0.2163          8.08764e-01          18          1          0.000          9.90000e+01          8.64851e-04          28.931          27.397          26.399          25.881          25.870          25.891          1.316          0.280          0.117          0.135          0.226          0.540          -12.09020          -13.28090          -13.98365          -14.15903          -14.34489          -14.53343          0.43620          0.28237          0.02115          -1.00000          -1.00000          -1.00000          0.59040          9
64341          1.205          1.1830          1.2251          1.1458          1.2907          1.2069          1.2029          2.11122e+00          26          1          0.000          9.90000e+01          1.62966e+00          25.735          25.417          24.673          23.945          23.165          22.594          0.237          0.054          0.024          0.024          0.024          0.040          -20.23232          -21.35303          -21.99996          -22.32457          -22.55694          -22.78796          0.31829          0.31011          1.18777          1.81472          2.14727          2.37900          1.15466          0
227394          1.62          0.7350          1.8271          0.0100          2.0000          1.1480          0.9893          1.56471e-01          11          1          0.000          9.90000e+01          7.76423e-01          28.257          27.896          27.626          26.648          25.877          25.510          2.104          0.663          0.293          0.286          0.293          0.581          -19.04081          -20.38903          -21.13086          -21.51071          -21.76200          -22.00758          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          -1.00000          1.03506          11
40132          0.7971          0.5146          0.9569          0.0588          1.2779          0.7445          0.7980          1.25501e+00          46          1          0.000          9.90000e+01          2.17764e-02          27.931          27.908          26.860          25.975          25.452          25.833          2.134          0.494          0.168          0.140          0.217          0.494          -16.39431          -17.33401          -17.60912          -17.70101          -17.82506          -17.96147          0.36386          0.07350          -1.00000          -1.00000          -1.00000          -1.00000          0.68697          1
283672          0.6485          0.6265          0.6680          0.5606          0.7350          0.6510          0.6436          1.03069e-01          42          1          0.000          9.90000e+01          1.06616e-01          26.099          25.459          24.529          23.772          23.538          23.344          0.383          0.057          0.022          0.021          0.032          0.077          -17.80132          -18.68147          -19.16416          -19.38119          -19.56180          -19.74856          0.13172          0.13990          0.08023          0.65117          1.00729          1.26191          0.65847          0
